category;question;answer
saude;Como faço para marcar uma consulta em um posto de saúde?;Para marcar uma consulta, vá até o posto de saúde mais próximo com seus documentos pessoais.
saude;Quais documentos preciso levar para uma consulta no SUS?;Você deve levar um documento de identidade com foto, cartão do SUS, e comprovante de residência.
saude;O que é o SUS e como ele funciona?;O SUS é o Sistema Único de Saúde, que oferece atendimento gratuito em hospitais e postos de saúde em todo o Brasil.
saude;Como faço para me vacinar contra a gripe?;Vá ao posto de saúde mais próximo durante a campanha de vacinação, levando seu cartão de vacinação e documento de identidade.
saude;Quais vacinas são oferecidas gratuitamente pelo SUS?;O SUS oferece vacinas para diversas doenças, incluindo sarampo, caxumba, rubéola, febre amarela, e hepatite B.
educacao;Como matricular meu filho na escola pública?;Você deve ir à escola mais próxima durante o período de matrículas, levando certidão de nascimento, comprovante de residência, e carteira de vacinação.
educacao;O que é o ProUni e como me inscrevo?;O ProUni é um programa que oferece bolsas de estudo para estudantes de baixa renda. A inscrição é feita pelo site do ProUni durante o período de inscrições.
educacao;Como faço para transferir meu filho de escola?;Para transferir seu filho, você precisa solicitar a transferência na escola atual e levar os documentos para a nova escola.
educacao;Quando começam as aulas na rede pública?;As aulas na rede pública geralmente começam em fevereiro. Consulte o calendário escolar da sua cidade para datas exatas.
educacao;Quais são os documentos necessários para matrícula escolar?;Você precisará da certidão de nascimento, comprovante de residência, carteira de vacinação, e histórico escolar.
impostos;Como faço para pagar o IPTU?;O IPTU pode ser pago em agências bancárias autorizadas, casas lotéricas, ou pela internet no site da prefeitura.
impostos;Quais são os prazos para pagamento do IPTU?;Os prazos para pagamento do IPTU variam de acordo com a cidade. Consulte o calendário de pagamentos no site da sua prefeitura.
impostos;Quem tem direito à isenção do IPTU?;Idosos, aposentados, e pessoas com deficiência podem ter direito à isenção do IPTU, dependendo da legislação local.
impostos;Como faço para declarar o Imposto de Renda?;Você pode declarar o Imposto de Renda online, pelo programa da Receita Federal, disponível no site oficial durante o período de declaração.
impostos;Quais são as deduções permitidas no Imposto de Renda?;Despesas com educação, saúde, e dependentes são algumas das deduções permitidas no Imposto de Renda.
servicos_sociais;Como me inscrever no Bolsa Família?;Você pode se inscrever no Bolsa Família pelo CRAS da sua cidade, levando os documentos pessoais de toda a família.
servicos_sociais;Quais são os critérios para receber o Bolsa Família?;Para receber o Bolsa Família, a família deve ter uma renda mensal per capita de até R$ 89,00 ou estar em situação de extrema pobreza.
servicos_sociais;O que é o Benefício de Prestação Continuada (BPC)?;O BPC é um benefício assistencial para idosos acima de 65 anos ou pessoas com deficiência que comprovem baixa renda.
servicos_sociais;Como faço para solicitar o BPC?;Você pode solicitar o BPC no INSS, apresentando documentos de identificação, comprovante de renda e laudos médicos, se necessário.
servicos_sociais;Quais são os programas de assistência disponíveis para idosos?;Além do BPC, os idosos podem ter acesso a programas como o Bolsa Família, isenção de IPTU, e atendimento prioritário em serviços públicos.

